"","x","[1960,1972)","[1972,1985)","[1985,1991)","[1991,1999)","[1999,2013)","[2013,2020]"
"5",5,1.20530872376986e-05,0.00459380805415716,3.89367790417507e-06,1.496924584256e-06,2.03866868643764e-06,1.40937736072239e-07
"5.5",5.5,0.000110670902729501,0.00140263830367342,1.35947217297374e-07,5.94294119306175e-05,4.97330750318904e-06,1.15661472299184e-06
"6",6,0.00069135060404479,0.00104096976883107,7.89285661164136e-07,0.000238821520612151,1.38501046615493e-05,8.30391717633816e-06
"6.5",6.5,0.00300097235257256,0.00151636617037295,2.11475663876981e-05,0.000436393663386845,4.26078903985553e-05,4.74403345475696e-05
"7",7,0.00966031520147308,0.00325378501567968,0.000252474512416869,0.000969306404307906,0.000136739148749228,0.000211132191484999
"7.5",7.5,0.0245914677686389,0.00776326837648811,0.00150602218819497,0.00244964715166201,0.000432312909374442,0.000762994408668567
"8",8,0.0517550037482203,0.0177617772271477,0.00560346150542957,0.00629609896687031,0.00127157698286018,0.00234020101464197
"8.5",8.5,0.0922908485309929,0.0384065810627592,0.0161619861405949,0.0147496993210831,0.0032935899180487,0.00636230848824451
"9",9,0.142786223347397,0.0778078147535343,0.0404911660605506,0.030022970225173,0.00749710749682883,0.0157270351573927
"9.5",9.5,0.196253910936586,0.146406398974658,0.0890086973336173,0.0538592346998286,0.0157583876072488,0.0356092287923996
"10",10,0.245379146250584,0.253651304257192,0.172635042647816,0.0866094196646119,0.0313795026271672,0.0743419958611845
"10.5",10.5,0.285776999423965,0.40112088147923,0.29707599480206,0.126978707076935,0.0591566275693313,0.144002403452238
"11",11,0.317446216231124,0.573978337978318,0.456106223839835,0.172631438010747,0.105387723626204,0.258152498565156
"11.5",11.5,0.344389000634904,0.736747589836378,0.628263766954604,0.221357624166577,0.177097362805089,0.423496537212137
"12",12,0.373635038049897,0.841060080047214,0.780752437538824,0.272280841691397,0.280204952966298,0.628376108609066
"12.5",12.5,0.415095569893098,0.863921842382585,0.880233200943258,0.326775946081178,0.416665319667616,0.833518160524189
"13",13,0.48354149821366,0.841675290518547,0.905342579141731,0.38918479752375,0.581236559466171,0.976934397773474
"13.5",13.5,0.603300587090609,0.822797886461934,0.855249304396781,0.467839447647756,0.75890868510574,1
"14",14,0.778865259101662,0.827325516507581,0.767768184049038,0.577344970648701,0.916146974461875,0.883584713748749
"14.5",14.5,0.950672701619298,0.849762193971874,0.696421248177954,0.741354437092834,1,0.665679874529299
"15",15,1,0.884213273981478,0.679485711048224,0.930410374956546,0.964773392066144,0.416349389073888
"15.5",15.5,0.829748686459217,0.924392042254721,0.742705256903046,1,0.804875275687077,0.207496360652818
"16",16,0.546937547292468,0.962932429230246,0.861042808201302,0.893036451545601,0.57882033934237,0.0790386518867188
"16.5",16.5,0.317220908821596,0.991235343480076,0.97671028466404,0.714160982180178,0.364439475893872,0.0221390874940276
"17",17,0.180048927538206,1,1,0.553713071406165,0.203828440689722,0.00469873501804294
"17.5",17.5,0.110059387512813,0.980542405953096,0.852487288453019,0.448672973972292,0.0997657751086533,0.000833821125993158
"18",18,0.0626274915909246,0.926759187113113,0.558200147843242,0.370136371122934,0.0411295658019332,0.000136929280701869
"18.5",18.5,0.0225258830383661,0.824691944088871,0.259629970499478,0.273663541925131,0.0137366653364666,2.27688592617554e-05
"19",19,0.00344116199856431,0.647454809492641,0.0840224821086436,0.158934074255071,0.00357488490947849,3.8134768986587e-06
"19.5",19.5,0.000181393870219785,0.417293064866958,0.0196269423876324,0.0635453162868401,0.000697260832158211,6.38705957528169e-07
"20",20,8.04034481060016e-06,0.205450881780205,0.00344150063275716,0.0153298566761564,9.80347031589608e-05,1.06974635227359e-07
"20.5",20.5,3.56391010319232e-07,0.0754863046981167,0.000484313757851904,0.00214122217301547,1.00370090373011e-05,1.79168088964034e-08
"21",21,1.57971523893989e-08,0.0264968697373984,6.61869626172486e-05,0.000274670783222263,9.80039010938835e-07,3.00082389014903e-09
"21.5",21.5,7.00214136687566e-10,0.00930081434888649,9.04519838529264e-06,3.52341013962527e-05,9.56934938877207e-08,5.02597536858079e-10
"22",22,3.10372290607352e-11,0.00326473083084063,1.23612884764679e-06,4.5197450075964e-06,9.34375537119383e-09,8.41783101251108e-11
